,Длительность перехода из Электросварочный стан в Буфер_plan,Длительность перехода из Электросравочный стан в Буфер_fact,Длительность перехода из Буфера на Кромкообрабатывающие станки_plan,Длительность перехода из Буфера на Кромкообрабатывающие станки_fact,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_plan,Длительность перехода из Кромкообрабатывающие станки в Буфер.1_fact,Длительность перехода из Буфер.1 на Термообработку_plan,Длительность перехода из Буфер.1 на Термообработку_fact,Длительность перехода из Термообработка в Буфер.2_plan,Длительность перехода из Термообработка в Буфер.2_fact,Длительность перехода из Буфер.2 на Испытания_plan,Длительность перехода из Буфер.2 на Испытания_fact,Длительность перехода из Испытания на Склад готовой продукции_plan,Длительность перехода из Испытания на Склад готовой продукции_fact
,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
Номер заказа,,,,,,,,,,,,,,
505,3 days 14:24:00,5 days 15:16:00,0 days 00:34:33.600000,1 days 10:40:00,0 days 18:00:00,0 days 18:00:00,0 days 04:19:12,2 days 05:44:00,1 days 00:28:48,1 days 00:02:00,0 days 00:34:33.600000,0 days 15:52:00,0 days 11:31:12,1 days 10:07:00
506,24 days 00:00:00,38 days 17:07:00,0 days 03:50:24,8 days 03:05:00,5 days 00:00:00,8 days 02:40:00,1 days 04:48:00,11 days 16:06:00,6 days 19:12:00,9 days 23:37:00,0 days 03:50:24,3 days 20:41:00,3 days 04:48:00,7 days 22:33:00
507,24 days 00:00:00,39 days 20:26:00,0 days 03:50:24,8 days 10:13:00,5 days 00:00:00,10 days 17:10:00,1 days 04:48:00,13 days 21:32:00,6 days 19:12:00,13 days 23:38:00,0 days 03:50:24,3 days 00:07:00,3 days 04:48:00,3 days 08:27:00
508,24 days 00:00:00,41 days 21:15:00,0 days 03:50:24,9 days 08:04:00,5 days 00:00:00,9 days 02:40:00,1 days 04:48:00,17 days 06:27:00,6 days 19:12:00,7 days 12:24:00,0 days 03:50:24,0 days 19:57:00,3 days 04:48:00,3 days 08:38:00
509,20 days 09:36:00,38 days 03:59:00,0 days 03:15:50.400000,15 days 22:38:00,4 days 06:00:00,4 days 06:01:00,1 days 00:28:48,5 days 18:01:00,5 days 18:43:12,7 days 00:59:00,0 days 03:15:50.400000,0 days 05:12:00,2 days 17:16:48,3 days 23:14:00
510,3 days 21:36:00,7 days 12:09:00,0 days 00:37:26.400000,0 days 08:09:00,0 days 19:30:00,0 days 19:25:00,0 days 04:40:48,0 days 05:17:00,1 days 02:31:12,2 days 08:15:00,0 days 00:37:26.400000,0 days 23:19:00,0 days 12:28:48,2 days 03:59:00
511,24 days 00:00:00,45 days 14:01:00,0 days 03:50:24,0 days 20:14:00,5 days 00:00:00,5 days 10:55:00,1 days 04:48:00,5 days 09:55:00,6 days 19:12:00,12 days 00:57:00,0 days 03:50:24,8 days 11:52:00,3 days 04:48:00,18 days 03:00:00
512,15 days 14:24:00,25 days 23:19:00,0 days 02:29:45.600000,0 days 03:20:00,3 days 06:00:00,5 days 10:04:00,0 days 18:43:12,5 days 15:04:00,4 days 10:04:48,8 days 11:02:00,0 days 02:29:45.600000,9 days 03:58:00,2 days 01:55:12,6 days 08:58:00
513,13 days 19:12:00,13 days 09:43:00,0 days 02:12:28.800000,3 days 10:53:00,2 days 21:00:00,2 days 20:56:00,0 days 16:33:36,17 days 23:15:00,3 days 21:50:24,10 days 14:11:00,0 days 02:12:28.800000,0 days 03:27:00,1 days 20:09:36,7 days 22:38:00
514,24 days 00:00:00,23 days 09:06:00,0 days 03:50:24,13 days 14:55:00,5 days 00:00:00,18 days 08:41:00,1 days 04:48:00,21 days 22:59:00,6 days 19:12:00,7 days 06:10:00,0 days 03:50:24,11 days 01:47:00,3 days 04:48:00,5 days 07:03:00
515,24 days 00:00:00,31 days 23:00:00,0 days 03:50:24,5 days 02:43:00,5 days 00:00:00,31 days 04:31:00,1 days 04:48:00,10 days 13:22:00,6 days 19:12:00,15 days 10:55:00,0 days 03:50:24,3 days 02:14:00,3 days 04:48:00,3 days 08:07:00
516,24 days 00:00:00,29 days 14:44:00,0 days 03:50:24,45 days 15:13:00,5 days 00:00:00,13 days 09:17:00,1 days 04:48:00,4 days 16:36:00,6 days 19:12:00,13 days 00:52:00,0 days 03:50:24,0 days 20:10:00,3 days 04:48:00,3 days 08:02:00
517,24 days 00:00:00,61 days 05:23:00,0 days 03:50:24,15 days 23:38:00,5 days 00:00:00,9 days 11:58:00,1 days 04:48:00,12 days 21:42:00,6 days 19:12:00,7 days 11:19:00,0 days 03:50:24,0 days 05:58:00,3 days 04:48:00,5 days 03:41:00
518,24 days 00:00:00,72 days 23:33:00,0 days 03:50:24,7 days 11:14:00,5 days 00:00:00,11 days 03:11:00,1 days 04:48:00,4 days 23:00:00,6 days 19:12:00,11 days 21:49:00,0 days 03:50:24,6 days 09:32:00,3 days 04:48:00,12 days 04:39:00
519,15 days 07:12:00,47 days 09:44:00,0 days 02:26:52.800000,3 days 16:19:00,3 days 04:30:00,7 days 23:49:00,0 days 18:21:36,2 days 19:26:00,4 days 08:02:24,4 days 06:14:00,0 days 02:26:52.800000,7 days 19:41:00,2 days 00:57:36,3 days 22:22:00
